Themes ,ColName,TotalColForPerc,PercentageOf,Description of Field,Label,LatexTableTitle,Rank,Table
,T8_1_RT,T8_1_TT,Persons aged 15+,Retired - Total,Retired ,Employment (percentage of those aged 15+),7,Population aged 15 years and over by principal economic status and sex 
,T8_1_UTWSDT,T8_1_TT,Persons aged 15+,Unable to work due to permanent sickness or disability - Total,Unable to work - perm. sickness or disability,Employment (percentage of those aged 15+),8,Population aged 15 years and over by principal economic status and sex 
,T8_1_OTHT,T8_1_TT,Persons aged 15+,Other - Total,Other,Employment (percentage of those aged 15+),9,Population aged 15 years and over by principal economic status and sex 
,T14_1_AFFT,T14_1_TT,Persons at work,"Agriculture, forestry and fishing - Total","Agriculture, forestry and fishing ",Employment (percentage of those at work),1,Persons at work by industry and sex
,T14_1_BCT,T14_1_TT,Persons at work,Building and construction - Total,Building and construction,Employment (percentage of those at work),2,Persons at work by industry and sex
,T14_1_MIT,T14_1_TT,Persons at work,Manufacturing industries - Total,Manufacturing industries,Employment (percentage of those at work),3,Persons at work by industry and sex
,T14_1_CTT,T14_1_TT,Persons at work,Commerce and trade - Total,Commerce and trade ,Employment (percentage of those at work),4,Persons at work by industry and sex
,T14_1_TCT,T14_1_TT,Persons at work,Transport and communications - Total,Transport and communications ,Employment (percentage of those at work),5,Persons at work by industry and sex
,T14_1_PAT,T14_1_TT,Persons at work,Public administration - Total,Public administration,Employment (percentage of those at work),6,Persons at work by industry and sex
,T14_1_PST,T14_1_TT,Persons at work,Professional services - Total,Professional services,Employment (percentage of those at work),7,Persons at work by industry and sex
,T14_1_OTHT,T14_1_TT,Persons at work,Other - Total,Other,Employment (percentage of those at work),8,Persons at work by industry and sex
,T4_2_NCT,T4_2_TCT,Family Units With Children,Families without children - Total,Families without children,Families (percentage of family units),1,Family units with children by size and age of children 
,T4_2_1CT,T4_2_TCT,Family Units With Children,Families with 1 child - Total,Families with 1 child,Families (percentage of family units),2,Family units with children by size and age of children 
,T4_2_2CT,T4_2_TCT,Family Units With Children,Families with 2 children - Total,Families with 2 children,Families (percentage of family units),3,Family units with children by size and age of children 
,T4_2_3CT,T4_2_TCT,Family Units With Children,Familes with 3 children - Total,Families with 3 children,Families (percentage of family units),4,Family units with children by size and age of children 
,T4_2_4CT,T4_2_TCT,Family Units With Children,Families with 4 children - Total,Families with 4 children,Families (percentage of family units),5,Family units with children by size and age of children 
,T4_2_GE5CT,T4_2_TCT,Family Units With Children,Families with 5 or more children - Total,Families with 5 or more children,Families (percentage of family units),6,Family units with children by size and age of children 
,T4_3FCCT,T4_2_TCT,Family Units With Children,Total couples with children (No. of families),Couples with children,Families (percentage of family units),7,Family units with children by type of family and age of children
,T4_3FOPMCT,T4_2_TCT,Family Units With Children,Total one parent family (mother) with children (No. of families),Lone parent (mother),Families (percentage of family units),8,Family units with children by type of family and age of children
,T4_3FOPFCT,T4_2_TCT,Family Units With Children,Total one parent family (father) with children (No. of families),Lone parent (father),Families (percentage of family units),9,Family units with children by type of family and age of children
Theme 4: Families ,T4_5PFF,T4_5TF,Families,Pre-family (No. of families),Pre-family families,Families (percentage of family units),10,Families by family cycle 
,T4_5ENF,T4_5TF,Families,Empty nest (No. of families),Empty nest families,Families (percentage of family units),11,Families by family cycle 
,T4_5RF,T4_5TF,Families,Retired (No. of families),Retired families,Families (percentage of family units),12,Families by family cycle 
,T4_5PSF,T4_5TF,Families,Pre-school (No. of families),Per-school families,Families (percentage of family units),13,Families by family cycle 
,T4_5ESF,T4_5TF,Families,Early school (No. of families),Early school families,Families (percentage of family units),14,Families by family cycle 
,T4_5PAF,T4_5TF,Families,Pre-adolescent (No. of families),Pre-adolescent families,Families (percentage of family units),15,Families by family cycle 
,T4_5ADOF,T4_5TF,Families,Adolescent (No. of families),Adolescent families,Families (percentage of family units),16,Families by family cycle 
,T4_5ADUF,T4_5TF,Families,Adult (No. of families),Adult families,Families (percentage of family units),17,Families by family cycle 
Theme 4: Families ,T4_4AGE0_4F,T4_4TF,Families,Families with youngest child aged 0 - 4 (No. of families),Families with youngest child aged 0 - 4,Families (percentage of family units),18,Families by age of youngest child 
,T4_4AGE5_9F,T4_4TF,Families,Families with youngest child aged 5 - 9 (No. of families),Families with youngest child aged 5 - 9,Families (percentage of family units),19,Families by age of youngest child 
,T4_4AGE10_14F,T4_4TF,Families,Families with youngest child aged 10 - 14 (No. of families),Families with youngest child aged 10 - 14,Families (percentage of family units),20,Families by age of youngest child 
,T4_4AGE15_19F,T4_4TF,Families,Families with youngest child aged 15 - 19 (No. of families),Families with youngest child aged 15 - 19,Families (percentage of family units),21,Families by age of youngest child 
,T4_4AGE_GE20F,T4_4TF,Families,Families with youngest child aged 20 and over (No. of families),Families with youngest child aged 20 and over,Families (percentage of family units),22,Families by age of youngest child 
,T12_1_T,T1_1AGETT,Persons,Total Persons,With a disability (to some or to a great extent),Health (percentage of population),15,Overall prevalence of persons with disability (to some and/or to a great extent) by sex
,T12_2_T,T1_1AGETT,Persons,Total,Missing,Missing,2,Carers by sex
,T12_3_VGT,T12_3_TT,Persons,Very good - Total,Very good general health,Health (percentage of population),3,Population by general health and sex
,T12_3_GT,T12_3_TT,Persons,Good - Total,Good general health,Health (percentage of population),4,Population by general health and sex
,T12_3_FT,T12_3_TT,Persons,Fair - Total,Fair general health,Health (percentage of population),5,Population by general health and sex
,T12_3_BT,T12_3_TT,Persons,Bad - Total,Bad general health,Health (percentage of population),6,Population by general health and sex
,T12_3_VBT,T12_3_TT,Persons,Very bad - Total,Very bad general health,Health (percentage of population),7,Population by general health and sex
,T12_3_NST,T12_3_TT,Persons,Not stated - Total,Missing,Missing,8,Population by general health and sex
"Theme 12: Disability, Carers, General Health and Smoking",T12_4_YES,T12_4_T,Persons,Persons who smoke,Persons who smoke,Health (percentage of population),9,Persons with who smoke 
,T5_1MC_H,T5_1T_H,Private Households,Married couple households (No. of households),Married couple households,Household Composition (percentage of private households),1,Private households by type
,T5_1CC_H,T5_1T_H,Private Households,Cohabiting couple households (No. of households),Cohabiting couple households,Household Composition (percentage of private households),2,Private households by type
,T5_1MCC_H,T5_1T_H,Private Households,Married couple with children households (No. of households),Married couple with children households,Household Composition (percentage of private households),3,Private households by type
,T5_1CCC_H,T5_1T_H,Private Households,Cohabiting couple with children households (No. of households),Cohabiting couple with children households,Household Composition (percentage of private households),4,Private households by type
,T5_1OPFC_H,T5_1T_H,Private Households,One parent family (father) with  children households (No. of households),One parent family (father) with  children households,Household Composition (percentage of private households),5,Private households by type
,T5_1OPMC_H,T5_1T_H,Private Households,One parent family (mother) and children households (No. of households),One parent family (mother) and children households,Household Composition (percentage of private households),6,Private households by type
,T5_1CO_H,T5_1T_H,Private Households,Couple and others households (No. of households),Couple and others households ,Household Composition (percentage of private households),7,Private households by type
,T5_1GENP_H,T5_1T_H,Private Households,Two or more non-related persons households (No. of households),Two or more non-related persons households,Household Composition (percentage of private households),8,Private households by type
Theme 5: Private Households ,T5_2_1PH,T5_2_TH,Private Households,1 person households (No. of households),1 person households,Household Composition (percentage of private households),9,Private households by size 
,T5_2_2PH,T5_2_TH,Private Households,2 person households (No. of households),2 person households,Household Composition (percentage of private households),10,Private households by size 
,T5_2_3PH,T5_2_TH,Private Households,3 person households (No. of households),3 person households,Household Composition (percentage of private households),11,Private households by size 
,T5_2_4PH,T5_2_TH,Private Households,4 person households (No. of households),4 person households,Household Composition (percentage of private households),12,Private households by size 
,T5_2_5PH,T5_2_TH,Private Households,5 person households (No. of households),5 person households,Household Composition (percentage of private households),13,Private households by size 
,T5_2_6PH,T5_2_TH,Private Households,6 person households (No. of households),6 person households,Household Composition (percentage of private households),14,Private households by size 
,T5_2_7PH,T5_2_TH,Private Households,7 person households (No. of households),7 person households,Household Composition (percentage of private households),15,Private households by size 
,T5_2_GE8PH,T5_2_TH,Private Households,8 or more persons households (No. of households),8 or more person households,Household Composition (percentage of private households),16,Private households by size 
,T15_2_NO,T15_2_T,Households,No internet connection,No internet connection,Housing (percentage of households),1,Number of households with internet
Theme 6: Housing ,T6_8_O,T6_8_T,Permanent Dwellings,Occupied,Occupied,Housing (percentage of permanent dwellings),2,Occupancy status of permanent dwellings on Census night
,T6_8_TA,T6_8_T,Permanent Dwellings,Temporarily absent,Temporarily absent,Housing (percentage of permanent dwellings),3,Occupancy status of permanent dwellings on Census night
,T6_8_UHH,T6_8_T,Permanent Dwellings,Unoccupied holiday homes,Unoccupied holiday homes,Housing (percentage of permanent dwellings),4,Occupancy status of permanent dwellings on Census night
,T6_8_OVD,T6_8_T,Permanent Dwellings,Other vacant dwellings,Other vacant dwellings,Housing (percentage of permanent dwellings),5,Occupancy status of permanent dwellings on Census night
,T6_3_OMLH,T6_3_TH,Permanent Private Households,Owned with mortgage or loan (No. of households),Owned with mortgage or loan,Housing (percentage of permanent private households),6,Permanent private households by type of occupancy 
,T6_3_OOH,T6_3_TH,Permanent Private Households,Owned outright (No. of households),Owned outright,Housing (percentage of permanent private households),7,Permanent private households by type of occupancy 
,T6_3_RPLH,T6_3_TH,Permanent Private Households,Rented from private landlord (No. of households) ,Rented from private landlord,Housing (percentage of permanent private households),8,Permanent private households by type of occupancy 
,T6_3_RLAH,T6_3_TH,Permanent Private Households,Rented from Local Authority (No. of households),Rented from Local Authority,Housing (percentage of permanent private households),9,Permanent private households by type of occupancy 
,T6_3_RVCHBH,T6_3_TH,Permanent Private Households,Rented from voluntary/co-operative housing body (No. of households),Rented from voluntary/co-operative housing body,Housing (percentage of permanent private households),10,Permanent private households by type of occupancy 
,T6_3_OFRH,T6_3_TH,Permanent Private Households,Occupied free of rent (No. of households),Occupied free of rent,Housing (percentage of permanent private households),11,Permanent private households by type of occupancy 
Theme 6: Housing ,T6_4_1RH,T6_4_TH,Permanent Private Households,1 room (No. of households),1 room,Housing (percentage of permanent private households),12,Permanent private households by number of rooms 
,T6_4_2RH,T6_4_TH,Permanent Private Households,2 rooms (No. of households),2 rooms,Housing (percentage of permanent private households),13,Permanent private households by number of rooms 
,T6_4_3RH,T6_4_TH,Permanent Private Households,3 rooms (No. of households),3 rooms,Housing (percentage of permanent private households),14,Permanent private households by number of rooms 
,T6_4_4RH,T6_4_TH,Permanent Private Households,4 rooms (No. of households),4 rooms,Housing (percentage of permanent private households),15,Permanent private households by number of rooms 
,T6_4_5RH,T6_4_TH,Permanent Private Households,5 rooms (No. of households),5 rooms,Housing (percentage of permanent private households),16,Permanent private households by number of rooms 
,T6_4_6RH,T6_4_TH,Permanent Private Households,6 rooms (No. of households),6 rooms,Housing (percentage of permanent private households),17,Permanent private households by number of rooms 
,T6_4_7RH,T6_4_TH,Permanent Private Households,7 rooms (No. of households),7 rooms,Housing (percentage of permanent private households),18,Permanent private households by number of rooms 
,T6_4_GE8RH,T6_4_TH,Permanent Private Households,8 or more rooms (No. of households),8 or more rooms,Housing (percentage of permanent private households),19,Permanent private households by number of rooms 
Theme 6: Housing ,T6_5_NCH,T6_5_T,Permanent Private Households,No central heating,No central heating,Housing (percentage of permanent private households),20,Permanent private households by central heating 
,T6_6_PM,T6_6_T,Permanent Private Households,Public main,Public main water supply,Housing (percentage of permanent private households),21,Permanent private households by central heating 
Theme 6: Housing ,T6_6_GSLA,T6_6_T,Permanent Private Households,Group scheme with public source,Group scheme with public source water supply,Housing (percentage of permanent private households),22,Permanent private households by water supply 
,T6_6_GSP,T6_6_T,Permanent Private Households,Group scheme with private source,Group scheme with private source water supply,Housing (percentage of permanent private households),23,Permanent private households by water supply 
,T6_6_OP,T6_6_T,Permanent Private Households,Other private source,Other private source water supply,Housing (percentage of permanent private households),24,Permanent private households by water supply 
,T6_6_N,T6_6_T,Permanent Private Households,None,No water supply,Housing (percentage of permanent private households),25,Permanent private households by water supply 
Theme 6: Housing ,T6_1_HB_H,T6_1_TH,Private Households,House/Bungalow (No. of households),House/Bungalow,Housing (percentage of private households),26,Private households by type of accommodation 
,T6_1_FA_H,T6_1_TH,Private Households,Flat/Apartment (No. of households),Flat/Apartment,Housing (percentage of private households),27,Private households by type of accommodation 
,T6_1_BS_H,T6_1_TH,Private Households,Bed-Sit (No. of households),Bed-Sit,Housing (percentage of private households),28,Private households by type of accommodation 
,T6_1_CM_H,T6_1_TH,Private Households,Caravan/Mobile home (No. of households),Caravan/Mobile home,Housing (percentage of private households),29,Private households by type of accommodation 
Theme 6: Housing ,T6_2_PRE19H,T6_2_TH,Permanent Private Households,Pre 1919 (No. of households),Built Pre 1919,Housing (percentage of private households),30,Permanent private households by year built 
,T6_2_19_45H,T6_2_TH,Permanent Private Households,1919 - 1945 (No. of households),Built 1919 - 1945,Housing (percentage of private households),31,Permanent private households by year built 
,T6_2_46_60H,T6_2_TH,Permanent Private Households,1946 - 1960 (No. of households),Built  1946 - 1960,Housing (percentage of private households),32,Permanent private households by year built 
,T6_2_61_70H,T6_2_TH,Permanent Private Households,1961 - 1970 (No. of households),Built  1961 - 1970,Housing (percentage of private households),33,Permanent private households by year built 
,T6_2_71_80H,T6_2_TH,Permanent Private Households,1971 - 1980 (No. of households),Built  1971 - 1980,Housing (percentage of private households),34,Permanent private households by year built 
,T6_2_81_90H,T6_2_TH,Permanent Private Households,1981 - 1990 (No. of households),Built  1981 - 1990,Housing (percentage of private households),35,Permanent private households by year built 
,T6_2_91_00H,T6_2_TH,Permanent Private Households,1991 - 2000 (No. of households),Built  1991 - 2000,Housing (percentage of private households),36,Permanent private households by year built 
,T6_2_01_10H,T6_2_TH,Permanent Private Households,2001 - 2010 (No. of households),Built  2001 - 2010,Housing (percentage of private households),37,Permanent private households by year built 
,T6_2_11_15H,T6_2_TH,Permanent Private Households,2011 - 2015 (No. of households),Built  2011 - 2015,Housing (percentage of private households),38,Permanent private households by year built 
,T6_2_16LH,T6_2_TH,Permanent Private Households,2016 or later  (No. of households),Built  2016 or later,Housing (percentage of private households),39,Permanent private households by year built 
,T1_2SGLT,T1_2T,Persons,Single - Total,Single,Marital Status (percentage of population),1,Population by sex and marital status
,T1_2MART,T1_2T,Persons,Married (incl. same sex civil partnership) - Total,Married (incl. same sex civil partnership),Marital Status (percentage of population),2,Population by sex and marital status
,T1_2SEPT,T1_2T,Persons,Separated - Total,Separated ,Marital Status (percentage of population),3,Population by sex and marital status
,T1_2DIVT,T1_2T,Persons,Divorced - Total,Divorced ,Marital Status (percentage of population),4,Population by sex and marital status
,T1_2WIDT,T1_2T,Persons,Widowed - Total,Widowed,Marital Status (percentage of population),5,Population by sex and marital status
,T2_6NW,T1_1AGETT,Speakers of Foreign Languages,Not well,Speak english not well,Migration and Ethnicity (percentage of population),1,Speakers of foreign languages by ability to speak English 
,T2_6NAA,T1_1AGETT,Speakers of Foreign Languages,Not at all,Speak english not at all,Migration and Ethnicity (percentage of population),2,Speakers of foreign languages by ability to speak English 
"Theme 2: Migration, Ethnicity, Religion and Foreign Languages",T2_1IEBP,T2_1TBP,Usually Resident Population,Ireland - Birthplace,Ireland - Birthplace,Migration and Ethnicity (percentage of usually resident population),3,Usually resident population by place of birth and nationality 
,T2_1UKBP,T2_1TBP,Usually Resident Population,UK - Birthplace,UK - Birthplace,Migration and Ethnicity (percentage of usually resident population),4,Usually resident population by place of birth and nationality 
,T2_1PLBP,T2_1TBP,Usually Resident Population,Poland - Birthplace,Poland - Birthplace,Migration and Ethnicity (percentage of usually resident population),5,Usually resident population by place of birth and nationality 
,T2_1INBP,T2_1TBP,Usually Resident Population,India - Birthplace,India - Birthplace,Migration and Ethnicity (percentage of usually resident population),6,Usually resident population by place of birth and nationality 
,T2_1EUBP,T2_1TBP,Usually Resident Population,Other EU28 - Birthplace,Other EU28 - Birthplace,Migration and Ethnicity (percentage of usually resident population),7,Usually resident population by place of birth and nationality 
,T2_1RWBP,T2_1TBP,Usually Resident Population,Rest of world - Birthplace,Rest of world - Birthplace,Migration and Ethnicity (percentage of usually resident population),8,Usually resident population by place of birth and nationality 
"Theme 2: Migration, Ethnicity, Religion and Foreign Languages",T2_2WI,T2_2T,Usually Resident Population,White Irish,White Irish,Migration and Ethnicity (percentage of usually resident population),9,Usually resident population by ethnic or cultural background 
,T2_2WIT,T2_2T,Usually Resident Population,White Irish Traveller,White Irish Traveller,Migration and Ethnicity (percentage of usually resident population),10,Usually resident population by ethnic or cultural background 
,T2_2OW,T2_2T,Usually Resident Population,Other White,Other White,Migration and Ethnicity (percentage of usually resident population),11,Usually resident population by ethnic or cultural background 
,T2_2BBI,T2_2T,Usually Resident Population,Black or Black Irish,Black or Black Irish,Migration and Ethnicity (percentage of usually resident population),12,Usually resident population by ethnic or cultural background 
,T2_2AAI,T2_2T,Usually Resident Population,Asian or Asian Irish,Asian or Asian Irish,Migration and Ethnicity (percentage of usually resident population),13,Usually resident population by ethnic or cultural background 
,T2_2OTH,T2_2T,Usually Resident Population,Other,Other ethnic or cultural background,Migration and Ethnicity (percentage of usually resident population),14,Usually resident population by ethnic or cultural background 
,T2_3OI,T2_3T,Usually Resident Population,Outside Ireland,Usual residence 1 year before census day - Outside Ireland,Migration and Ethnicity (percentage of usually resident population),15,Usually resident population aged 1 year and over by usual residence 1 year before Census Day
,T13_1_MDSOT,T13_1_TT,Persons at work or unemployed,"Managers, directors and senior officials - Total","Managers, directors and senior officials",Occupation (percentage of those at work or unemployed),1,Persons at work or unemployed by occupation and sex
,T13_1_POT,T13_1_TT,Persons at work or unemployed,Professional occupations - Total,Professional occupations,Occupation (percentage of those at work or unemployed),2,Persons at work or unemployed by occupation and sex
,T13_1_APTOT,T13_1_TT,Persons at work or unemployed,Associate professional and technical occupations - Total,Associate professional and technical occupations,Occupation (percentage of those at work or unemployed),3,Persons at work or unemployed by occupation and sex
,T13_1_ASOT,T13_1_TT,Persons at work or unemployed,Administrative and secretarial occupations - Total,Administrative and secretarial occupations,Occupation (percentage of those at work or unemployed),4,Persons at work or unemployed by occupation and sex
,T13_1_STOT,T13_1_TT,Persons at work or unemployed,Skilled trades occupations - Total,Skilled trades occupations,Occupation (percentage of those at work or unemployed),5,Persons at work or unemployed by occupation and sex
,T13_1_CLOSOT,T13_1_TT,Persons at work or unemployed,"Caring, leisure and other service occupations - Total","Caring, leisure and other service occupations",Occupation (percentage of those at work or unemployed),6,Persons at work or unemployed by occupation and sex
,T13_1_SCSOT,T13_1_TT,Persons at work or unemployed,Sales and customer service occupations - Total,Sales and customer service occupations,Occupation (percentage of those at work or unemployed),7,Persons at work or unemployed by occupation and sex
,T13_1_PPMOT,T13_1_TT,Persons at work or unemployed,"Process, plant and machine operatives - Total","Process, plant and machine operatives",Occupation (percentage of those at work or unemployed),8,Persons at work or unemployed by occupation and sex
,T13_1_EOT,T13_1_TT,Persons at work or unemployed,Elementary occupations - Total,Elementary occupations,Occupation (percentage of those at work or unemployed),9,Persons at work or unemployed by occupation and sex
Theme 6: Housing ,T6_10_RE,T6_10_T,Permanent Private Households,Has renewable Energy,Has renewable energy source (percentage of permanent private households),Other,1,Permanent private households by number of renewables
Theme 7: Volunteers,T7_1_VOL,T1_1AGETT,Persons,Number of volunteers,Volunteers (percentage of population),Other,2,Number of volunteers
,T9_1_PWT,T9_1_TT,Persons,Professional workers - Total,Professional workers ,Social Class (percentage of population??),1,Population by sex and social class
,T9_1_MTT,T9_1_TT,Persons,Managerial and technical - Total,Managerial and technical,Social Class (percentage of population??),2,Population by sex and social class
,T9_1_NMT,T9_1_TT,Persons,Non-manual - Total,Non-manual,Social Class (percentage of population??),3,Population by sex and social class
,T9_1_ST,T9_1_TT,Persons,Skilled manual - Total,Skilled manual,Social Class (percentage of population??),4,Population by sex and social class
,T9_1_SST,T9_1_TT,Persons,Semi-skilled - Total,Semi-skilled,Social Class (percentage of population??),5,Population by sex and social class
,T9_1_UST,T9_1_TT,Persons,Unskilled - Total,Unskilled ,Social Class (percentage of population??),6,Population by sex and social class
,T9_1_OTHGEUT,T9_1_TT,Persons,All others gainfully occupied and unknown - Total,All others gainfully occupied and unknown,Social Class (percentage of population??),7,Population by sex and social class
,T9_2_HA,T9_2_HT,Persons in private households,A Employers and managers (No. of households),A Employers and managers,Socio-economic group of reference person (percentage of private households??),1,Persons in private households by socio-economic group of reference person
Theme 9: Social Class and Socio-Economic Group ,T9_2_HB,T9_2_HT,Persons in private households,B Higher professional (No. of households),B Higher professional,Socio-economic group of reference person (percentage of private households??),2,Persons in private households by socio-economic group of reference person
,T9_2_HC,T9_2_HT,Persons in private households,C Lower professional (No. of households),C Lower professional,Socio-economic group of reference person (percentage of private households??),3,Persons in private households by socio-economic group of reference person
,T9_2_HD,T9_2_HT,Persons in private households,D Non-manual (No. of households),D Non-manual,Socio-economic group of reference person (percentage of private households??),4,Persons in private households by socio-economic group of reference person
,T9_2_HE,T9_2_HT,Persons in private households,E Manual skilled (No. of households),E Manual skilled,Socio-economic group of reference person (percentage of private households??),5,Persons in private households by socio-economic group of reference person
,T9_2_HF,T9_2_HT,Persons in private households,F Semi-skilled (No. of households),F Semi-skilled,Socio-economic group of reference person (percentage of private households??),6,Persons in private households by socio-economic group of reference person
,T9_2_HG,T9_2_HT,Persons in private households,G Unskilled (No. of households),G Unskilled,Socio-economic group of reference person (percentage of private households??),7,Persons in private households by socio-economic group of reference person
,T9_2_HH,T9_2_HT,Persons in private households,H Own account workers (No. of households),H Own account workers,Socio-economic group of reference person (percentage of private households??),8,Persons in private households by socio-economic group of reference person
,T9_2_HI,T9_2_HT,Persons in private households,I Farmers (No. of households),I Farmers,Socio-economic group of reference person (percentage of private households??),9,Persons in private households by socio-economic group of reference person
,T9_2_HJ,T9_2_HT,Persons in private households,J Agricultural workers (No. of households),J Agricultural workers,Socio-economic group of reference person (percentage of private households??),10,Persons in private households by socio-economic group of reference person
,T9_2_HZ,T9_2_HT,Persons in private households,Z All others gainfully occupied and unknown (No. of households),Z All others gainfully occupied and unknown,Socio-economic group of reference person (percentage of private households??),11,Persons in private households by socio-economic group of reference person
"Theme 15: Motor Car Availability, PC Ownership and Internet Access",T15_1_NC,T15_1_TC,Households,No motor car,No motor car (percentage of households),Transport (percentage of population aged 5 years and over),1,Number of households with cars
,T11_1_FT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare",On foot - Total,"Travel to work, school, college or childcare on foot",Transport (percentage of population aged 5 years and over),2,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_BIT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare",Bicycle - Total,"Travel to work, school, college or childcare by Bicycle",Transport (percentage of population aged 5 years and over),3,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_BUT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare","Bus, minibus or coach - Total","Travel to work, school, college or childcare by Bus, minibus or coach",Transport (percentage of population aged 5 years and over),4,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_TDLT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare","Train, DART or LUAS - Total","Travel to work, school, college or childcare by Train, DART or LUAS",Transport (percentage of population aged 5 years and over),5,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_MT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare",Motorcycle or scooter - Total,"Travel to work, school, college or childcare by Motorcycle or scooter",Transport (percentage of population aged 5 years and over),6,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_CDT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare",Car driver - Total,"Travel to work, school, college or childcare by Car driver",Transport (percentage of population aged 5 years and over),7,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_CPT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare",Car passenger - Total,"Travel to work, school, college or childcare by Car passenger",Transport (percentage of population aged 5 years and over),8,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_VT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare",Van - Total,"Travel to work, school, college or childcare by Van",Transport (percentage of population aged 5 years and over),9,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_OTHT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare",Other (incl. lorry) - Total,"Travel to work, school, college or childcare by Other (incl. lorry)",Transport (percentage of population aged 5 years and over),10,"Population aged 5 years and over by means of travel to work, school or college"
,T11_1_WMFHT,T11_1_TT,"Population aged 5 years+ travelling to work, school, college or childcare",Work mainly at or from home - Total,Work mainly at or from home,Transport (percentage of population aged 5 years and over),11,"Population aged 5 years and over by means of travel to work, school or college"
