SA,PCT,CHO_CHN_No,CHN,CST_No,CST,IHA_No,IHA,Region,HR_abbr
017010008,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010009,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010010,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010011,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010012/01,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010012/02,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010013,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010014,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010015,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010016,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010017,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010018,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010019,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010020,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010021,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010022,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010023,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010024,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010025,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010026,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010027,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010028,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010029/017010046,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010030,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010031,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010032,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010033,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010034/01,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010034/02,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010035,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010036,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010037,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010038,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010039,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010040,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010041,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010042,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010043,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010044,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010045,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010046,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010047,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010048,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017010049/017010048,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011001,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011002,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011003,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011004,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011005,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011006,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011007,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011008,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011009,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011010,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011011,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011012,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011013,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011014,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011015,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011016,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011017,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011018,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011019,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011020,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011021,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011022,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011023,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017011024,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017012001,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017012004/01,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017012004/02,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017012004/02/017012002/017012003,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017013001,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017013002,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017013003,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017013004,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017014001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017014002,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017015001,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017016001,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017016002,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017017001,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017017002,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017017003,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017017004,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017018002/017018001,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017018003,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017019001,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017019002,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017020001,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017021001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017021002,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017022001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017022002,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017022003,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017022004,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017023001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017024001,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017024002,Carlow 1,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017025001,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017025002,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017025003,Carlow 4,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017026001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017026002,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017027001,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017027002,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017028001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017029001,Hacketstown/Rathvilly/Tullow,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017030001,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017031001,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017031002,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017031004,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017031005/01/017031003,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017031005/02,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017031006,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017032001,Gowran/Graiguenamanagh/Borris/Courtnellan,CHO 5 - 2,Central Kilkenny and South Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017033001,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017033002,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034001,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034002,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034003,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034004,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034005,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034006,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034007,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034008,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034009,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034010,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017034011,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017035001,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017035002/01,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017035002/02,Myshall/Leighlinbridge,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
017036001,Bagenalstown,CHO 5 - 1,North Carlow,CST 13,Carlow / Kilkenny,C1,HSE Carlow Kilkenny and Tipperary South,HSE Dublin and South East,DSE
